alert_id,timestamp,month,source,rule_name,severity,mitre_tactic,disposition,escalated_to_incident,analyst,shift
ALT-000099,2026-03-05 12:24:57,2026-03,EDR,Suspicious PowerShell,Low,Discovery,False Positive,No,n.akter,Morning
ALT-000095,2026-03-05 13:01:13,2026-03,EDR,Process hollowing,Medium,Persistence,False Positive,No,a.rahman,Morning
ALT-000109,2026-03-05 13:39:05,2026-03,Email-GW,Business email compromise,High,Impact,Benign True Positive,No,n.akter,Morning
ALT-000097,2026-03-05 15:00:05,2026-03,IDS,SMB lateral movement,Medium,Collection,False Positive,No,m.hasan,Evening
ALT-000100,2026-03-05 15:14:07,2026-03,SIEM,Brute-force logon burst,Low,Execution,True Positive,No,a.rahman,Evening
ALT-000111,2026-03-05 15:21:32,2026-03,Email-GW,Malicious attachment,High,Impact,False Positive,No,a.rahman,Evening
ALT-000094,2026-03-05 15:27:07,2026-03,IDS,Nmap scan,Low,Impact,False Positive,No,a.rahman,Evening
ALT-000096,2026-03-05 16:48:24,2026-03,IDS,EternalBlue exploit,Low,Command and Control,Benign True Positive,No,n.akter,Evening
ALT-000103,2026-03-05 17:57:42,2026-03,SIEM,Audit log cleared,Medium,Initial Access,True Positive,No,m.hasan,Evening
ALT-000107,2026-03-05 18:00:04,2026-03,Email-GW,Spoofed internal sender,Low,Lateral Movement,False Positive,No,n.akter,Evening
ALT-000104,2026-03-05 21:43:57,2026-03,SIEM,Mass file download,Low,Initial Access,False Positive,No,r.islam,Evening
ALT-000105,2026-03-05 21:45:11,2026-03,Email-GW,Phishing URL,Medium,Initial Access,Benign True Positive,No,r.islam,Evening
ALT-000101,2026-03-05 23:25:45,2026-03,SIEM,Logon from disabled account,Low,Privilege Escalation,False Positive,No,t.begum,Night
ALT-000126,2026-03-06 07:05:14,2026-03,SIEM,New privileged account,High,Impact,False Positive,No,m.hasan,Morning
ALT-000116,2026-03-06 08:01:36,2026-03,WAF,XSS attempt,Medium,Impact,False Positive,No,t.begum,Morning
ALT-000133,2026-03-06 08:10:17,2026-03,EDR,Unsigned driver load,Low,Privilege Escalation,True Positive,No,t.begum,Morning
ALT-000117,2026-03-06 08:38:14,2026-03,CASB,SaaS impossible travel,Low,Collection,Benign True Positive,No,t.begum,Morning
ALT-000130,2026-03-06 08:42:08,2026-03,WAF,SQL injection attempt,Medium,Execution,True Positive,No,n.akter,Morning
ALT-000120,2026-03-06 09:04:53,2026-03,EDR,Ransomware canary file,High,Persistence,Benign True Positive,No,a.rahman,Morning
ALT-000119,2026-03-06 09:35:06,2026-03,SIEM,Brute-force logon burst,High,Privilege Escalation,False Positive,No,n.akter,Morning
ALT-000124,2026-03-06 09:38:49,2026-03,WAF,XSS attempt,Low,Defense Evasion,Benign True Positive,No,m.hasan,Morning
ALT-000122,2026-03-06 09:49:23,2026-03,EDR,Suspicious PowerShell,High,Persistence,False Positive,No,m.hasan,Morning
ALT-000115,2026-03-06 10:37:37,2026-03,CASB,OAuth grant to risky app,Medium,Exfiltration,False Positive,No,a.rahman,Morning
ALT-000128,2026-03-06 10:54:37,2026-03,EDR,LOLBin execution,Low,Privilege Escalation,False Positive,No,s.khatun,Morning
ALT-000131,2026-03-06 11:54:24,2026-03,EDR,Process hollowing,Medium,Discovery,Benign True Positive,No,r.islam,Morning
ALT-000127,2026-03-06 13:03:15,2026-03,SIEM,Impossible travel,Medium,Initial Access,Benign True Positive,No,a.rahman,Morning
ALT-000129,2026-03-06 14:22:59,2026-03,SIEM,Brute-force logon burst,Low,Defense Evasion,Duplicate,No,t.begum,Evening
ALT-000118,2026-03-06 14:54:07,2026-03,SIEM,Impossible travel,Medium,Initial Access,False Positive,No,m.hasan,Evening
ALT-000112,2026-03-06 15:47:22,2026-03,CASB,Mass external share,Low,Privilege Escalation,False Positive,No,t.begum,Evening
ALT-000132,2026-03-06 16:24:19,2026-03,SIEM,Mass file download,Medium,Exfiltration,True Positive,Yes,m.hasan,Evening
ALT-000113,2026-03-06 16:45:37,2026-03,SIEM,Logon from disabled account,Low,Lateral Movement,Benign True Positive,No,r.islam,Evening
ALT-000121,2026-03-06 17:08:57,2026-03,EDR,Credential dumping tool,Medium,Command and Control,False Positive,No,t.begum,Evening
ALT-000114,2026-03-06 18:59:55,2026-03,Email-GW,Business email compromise,Low,Persistence,Duplicate,No,r.islam,Evening
ALT-000125,2026-03-06 19:50:01,2026-03,SIEM,Audit log cleared,Medium,Collection,False Positive,No,n.akter,Evening
ALT-000135,2026-03-06 20:03:12,2026-03,Email-GW,Spoofed internal sender,Medium,Exfiltration,False Positive,No,s.khatun,Evening
ALT-000134,2026-03-06 22:06:54,2026-03,Email-GW,Phishing URL,Medium,Initial Access,False Positive,No,r.islam,Night
ALT-000123,2026-03-06 23:11:43,2026-03,EDR,Suspicious PowerShell,Medium,Initial Access,False Positive,No,m.hasan,Night
ALT-000139,2026-03-07 03:04:09,2026-03,SIEM,Mass file download,Low,Collection,Duplicate,No,r.islam,Night
ALT-000138,2026-03-07 05:42:00,2026-03,SIEM,Impossible travel,High,Execution,False Positive,No,s.khatun,Night
ALT-000144,2026-03-07 06:40:30,2026-03,SIEM,Brute-force logon burst,Medium,Command and Control,Benign True Positive,No,m.hasan,Morning
ALT-000140,2026-03-07 07:45:21,2026-03,EDR,LOLBin execution,Medium,Impact,False Positive,No,r.islam,Morning
ALT-000142,2026-03-07 08:14:09,2026-03,EDR,Credential dumping tool,Low,Discovery,True Positive,No,a.rahman,Morning
ALT-000145,2026-03-07 08:20:16,2026-03,CASB,Mass external share,Low,Persistence,False Positive,No,a.rahman,Morning
ALT-000141,2026-03-07 09:05:50,2026-03,EDR,Credential dumping tool,Low,Discovery,False Positive,No,t.begum,Morning
ALT-000143,2026-03-07 09:15:42,2026-03,Firewall,Tor exit node traffic,Low,Privilege Escalation,Benign True Positive,No,r.islam,Morning
ALT-000136,2026-03-07 10:13:53,2026-03,Firewall,Inbound port scan,Medium,Defense Evasion,False Positive,No,m.hasan,Morning
ALT-000137,2026-03-07 16:54:14,2026-03,EDR,Ransomware canary file,Medium,Execution,Benign True Positive,No,r.islam,Evening
ALT-000151,2026-03-08 10:18:35,2026-03,EDR,Process hollowing,Low,Exfiltration,True Positive,No,s.khatun,Morning
ALT-000149,2026-03-08 11:43:59,2026-03,Firewall,Tor exit node traffic,Medium,Privilege Escalation,True Positive,Yes,s.khatun,Morning
ALT-000146,2026-03-08 13:20:13,2026-03,Email-GW,Business email compromise,Low,Credential Access,True Positive,No,r.islam,Morning
ALT-000148,2026-03-08 14:52:30,2026-03,SIEM,New privileged account,Low,Collection,False Positive,No,n.akter,Evening
ALT-000150,2026-03-08 15:46:26,2026-03,SIEM,Audit log cleared,Medium,Credential Access,True Positive,Yes,n.akter,Evening
ALT-000147,2026-03-08 16:28:49,2026-03,EDR,Credential dumping tool,Medium,Command and Control,False Positive,No,n.akter,Evening
ALT-000163,2026-03-09 02:40:48,2026-03,SIEM,Mass file download,Low,Credential Access,True Positive,No,a.rahman,Night
ALT-000170,2026-03-09 07:10:53,2026-03,SIEM,Logon from disabled account,High,Execution,True Positive,No,s.khatun,Morning
ALT-000153,2026-03-09 08:01:44,2026-03,IDS,EternalBlue exploit,Low,Lateral Movement,False Positive,No,s.khatun,Morning
ALT-000160,2026-03-09 08:19:06,2026-03,SIEM,Mass file download,Low,Lateral Movement,Benign True Positive,No,t.begum,Morning
ALT-000156,2026-03-09 08:22:50,2026-03,IDS,EternalBlue exploit,Low,Command and Control,False Positive,No,t.begum,Morning
ALT-000161,2026-03-09 08:23:19,2026-03,IDS,Cobalt Strike beacon,Low,Discovery,False Positive,No,m.hasan,Morning
ALT-000152,2026-03-09 08:25:40,2026-03,WAF,SQL injection attempt,Low,Lateral Movement,False Positive,No,t.begum,Morning
ALT-000169,2026-03-09 09:06:23,2026-03,SIEM,Logon from disabled account,Critical,Credential Access,False Positive,No,r.islam,Morning
ALT-000176,2026-03-09 10:12:12,2026-03,WAF,Path traversal,Medium,Discovery,False Positive,No,a.rahman,Morning
ALT-000158,2026-03-09 11:17:17,2026-03,SIEM,New privileged account,High,Exfiltration,False Positive,No,m.hasan,Morning
ALT-000164,2026-03-09 11:32:18,2026-03,SIEM,Brute-force logon burst,Low,Lateral Movement,False Positive,No,s.khatun,Morning
ALT-000171,2026-03-09 11:44:01,2026-03,Email-GW,Malicious attachment,Low,Discovery,False Positive,No,m.hasan,Morning
ALT-000157,2026-03-09 12:52:05,2026-03,SIEM,Brute-force logon burst,High,Impact,Benign True Positive,No,s.khatun,Morning
ALT-000173,2026-03-09 13:18:09,2026-03,Firewall,Geo-blocked destination,Medium,Impact,False Positive,No,t.begum,Morning
ALT-000172,2026-03-09 13:55:59,2026-03,EDR,Suspicious PowerShell,Low,Credential Access,False Positive,No,t.begum,Morning
ALT-000166,2026-03-09 14:20:27,2026-03,Firewall,DNS tunneling pattern,Medium,Impact,Benign True Positive,No,s.khatun,Evening
ALT-000165,2026-03-09 14:22:23,2026-03,IDS,SMB lateral movement,Low,Collection,False Positive,No,a.rahman,Evening
ALT-000154,2026-03-09 14:34:04,2026-03,IDS,Cobalt Strike beacon,High,Initial Access,False Positive,No,r.islam,Evening
ALT-000175,2026-03-09 15:14:58,2026-03,SIEM,Logon from disabled account,Medium,Collection,False Positive,No,s.khatun,Evening
ALT-000155,2026-03-09 15:19:29,2026-03,Email-GW,Phishing URL,Low,Collection,Benign True Positive,No,m.hasan,Evening
ALT-000174,2026-03-09 15:44:36,2026-03,Email-GW,Phishing URL,High,Defense Evasion,Benign True Positive,No,m.hasan,Evening
ALT-000168,2026-03-09 16:17:11,2026-03,SIEM,Audit log cleared,High,Exfiltration,False Positive,No,s.khatun,Evening
ALT-000177,2026-03-09 17:28:45,2026-03,SIEM,Impossible travel,Low,Privilege Escalation,True Positive,No,t.begum,Evening
ALT-000167,2026-03-09 17:49:38,2026-03,WAF,XSS attempt,Low,Defense Evasion,Benign True Positive,No,t.begum,Evening
ALT-000159,2026-03-09 18:44:27,2026-03,EDR,Process hollowing,Low,Discovery,Benign True Positive,No,n.akter,Evening
ALT-000162,2026-03-09 19:50:26,2026-03,IDS,Cobalt Strike beacon,High,Credential Access,False Positive,No,t.begum,Evening
ALT-000198,2026-03-10 06:29:02,2026-03,Email-GW,Spoofed internal sender,Medium,Lateral Movement,False Positive,No,r.islam,Morning
ALT-000186,2026-03-10 07:03:18,2026-03,Firewall,Geo-blocked destination,High,Credential Access,Benign True Positive,No,t.begum,Morning
ALT-000189,2026-03-10 07:12:39,2026-03,IDS,EternalBlue exploit,Medium,Defense Evasion,False Positive,No,s.khatun,Morning
ALT-000195,2026-03-10 08:04:17,2026-03,Firewall,Inbound port scan,High,Impact,Benign True Positive,No,m.hasan,Morning
ALT-000187,2026-03-10 08:24:46,2026-03,IDS,EternalBlue exploit,Medium,Exfiltration,Benign True Positive,No,a.rahman,Morning
ALT-000180,2026-03-10 08:31:45,2026-03,Firewall,Geo-blocked destination,High,Credential Access,Benign True Positive,No,m.hasan,Morning
ALT-000194,2026-03-10 08:37:55,2026-03,IDS,SMB lateral movement,Medium,Impact,Benign True Positive,No,m.hasan,Morning
ALT-000184,2026-03-10 09:59:00,2026-03,WAF,XSS attempt,Medium,Defense Evasion,Benign True Positive,No,a.rahman,Morning
ALT-000185,2026-03-10 10:35:23,2026-03,SIEM,New privileged account,High,Exfiltration,True Positive,No,t.begum,Morning
ALT-000181,2026-03-10 11:03:27,2026-03,SIEM,Audit log cleared,High,Collection,False Positive,No,s.khatun,Morning
ALT-000183,2026-03-10 11:09:37,2026-03,EDR,Suspicious PowerShell,Low,Persistence,False Positive,No,t.begum,Morning
ALT-000191,2026-03-10 11:10:47,2026-03,EDR,Ransomware canary file,High,Defense Evasion,True Positive,No,a.rahman,Morning
ALT-000182,2026-03-10 12:48:42,2026-03,Firewall,Geo-blocked destination,Medium,Impact,Duplicate,No,a.rahman,Morning
ALT-000197,2026-03-10 13:30:56,2026-03,IDS,Nmap scan,Medium,Exfiltration,Duplicate,No,m.hasan,Morning
ALT-000190,2026-03-10 14:09:09,2026-03,IDS,Nmap scan,Medium,Credential Access,False Positive,No,a.rahman,Evening
ALT-000196,2026-03-10 14:33:03,2026-03,EDR,Ransomware canary file,Medium,Discovery,False Positive,No,s.khatun,Evening
ALT-000178,2026-03-10 15:05:09,2026-03,WAF,Web shell upload,High,Collection,False Positive,No,a.rahman,Evening
ALT-000188,2026-03-10 15:35:40,2026-03,EDR,LOLBin execution,High,Impact,False Positive,No,n.akter,Evening
ALT-000193,2026-03-10 16:09:45,2026-03,EDR,Process hollowing,Low,Privilege Escalation,False Positive,No,s.khatun,Evening
ALT-000179,2026-03-10 17:18:38,2026-03,EDR,Ransomware canary file,Medium,Impact,False Positive,No,t.begum,Evening
ALT-000192,2026-03-10 19:12:40,2026-03,EDR,Suspicious PowerShell,Low,Persistence,False Positive,No,r.islam,Evening
ALT-000211,2026-03-11 03:54:25,2026-03,SIEM,New privileged account,High,Execution,Benign True Positive,No,m.hasan,Night
ALT-000203,2026-03-11 07:31:40,2026-03,Firewall,Inbound port scan,Medium,Lateral Movement,False Positive,No,n.akter,Morning
ALT-000213,2026-03-11 07:40:49,2026-03,SIEM,Audit log cleared,Low,Collection,Benign True Positive,No,s.khatun,Morning
ALT-000209,2026-03-11 07:52:07,2026-03,CASB,Mass external share,Medium,Execution,True Positive,No,t.begum,Morning
ALT-000214,2026-03-11 08:21:00,2026-03,EDR,Suspicious PowerShell,Medium,Discovery,Benign True Positive,No,s.khatun,Morning
ALT-000202,2026-03-11 10:17:08,2026-03,EDR,Suspicious PowerShell,Medium,Privilege Escalation,False Positive,No,n.akter,Morning
ALT-000220,2026-03-11 11:13:10,2026-03,EDR,Unsigned driver load,Medium,Discovery,False Positive,No,s.khatun,Morning
ALT-000206,2026-03-11 11:28:16,2026-03,SIEM,Logon from disabled account,Medium,Impact,True Positive,No,t.begum,Morning
ALT-000204,2026-03-11 12:19:43,2026-03,Firewall,Tor exit node traffic,Medium,Privilege Escalation,False Positive,No,r.islam,Morning
ALT-000210,2026-03-11 13:26:21,2026-03,Email-GW,Spoofed internal sender,Medium,Discovery,False Positive,No,r.islam,Morning
ALT-000212,2026-03-11 13:28:12,2026-03,CASB,OAuth grant to risky app,Medium,Command and Control,False Positive,No,t.begum,Morning
ALT-000217,2026-03-11 14:51:38,2026-03,Email-GW,Malicious attachment,Low,Discovery,False Positive,No,a.rahman,Evening
ALT-000201,2026-03-11 15:01:28,2026-03,Firewall,Outbound to known C2,Medium,Lateral Movement,False Positive,No,m.hasan,Evening
ALT-000208,2026-03-11 15:21:05,2026-03,SIEM,New privileged account,Low,Initial Access,False Positive,No,a.rahman,Evening
ALT-000200,2026-03-11 17:32:42,2026-03,WAF,SQL injection attempt,Low,Defense Evasion,False Positive,No,t.begum,Evening
ALT-000215,2026-03-11 18:23:18,2026-03,Email-GW,Business email compromise,Medium,Exfiltration,False Positive,No,n.akter,Evening
ALT-000207,2026-03-11 18:28:13,2026-03,SIEM,Audit log cleared,Medium,Defense Evasion,True Positive,Yes,m.hasan,Evening
